author_id,name,inst_1_id,inst_1_name,year_start_1,year_end_1
https://openalex.org/A5007910787,B. Abbott,https://openalex.org/I8692664,University of Oklahoma,2001,2025
https://openalex.org/A5113915795,Richard Fowler,https://openalex.org/I8692664,University of Oklahoma,1959,1988
https://openalex.org/A5109551197,Bruce A. Roe,https://openalex.org/I8692664,University of Oklahoma,1983,2015
https://openalex.org/A5069626651,Howard Baer,https://openalex.org/I8692664,University of Oklahoma,2006,2025
https://openalex.org/A5082043474,Norman F. Carnahan,https://openalex.org/I8692664,University of Oklahoma,1969,1970
https://openalex.org/A5039341938,K.E. Starling,https://openalex.org/I8692664,University of Oklahoma,1968,1997
https://openalex.org/A5004392142,Mary Jo Poillion,https://openalex.org/I8692664,University of Oklahoma,1994,1994
https://openalex.org/A5003103199,Zmud,https://openalex.org/I8692664,University of Oklahoma,2003,2006
https://openalex.org/A5109240645,Douglas K. Lilly,https://openalex.org/I8692664,University of Oklahoma,1983,2008
https://openalex.org/A5048921939,William L. Megginson,https://openalex.org/I8692664,University of Oklahoma,1994,2025
https://openalex.org/A5112190620,C. W. Bert,https://openalex.org/I8692664,University of Oklahoma,1966,2012
https://openalex.org/A5100651489,Lei Yang,https://openalex.org/I8692664,University of Oklahoma,2006,2010
https://openalex.org/A5089173245,Douglas R. Powell,https://openalex.org/I8692664,University of Oklahoma,1984,2025
https://openalex.org/A5009236245,Robert P. Houser,https://openalex.org/I8692664,University of Oklahoma,2001,2013
https://openalex.org/A5078614126,Eyal Shahar,https://openalex.org/I8692664,University of Oklahoma,2001,2001
https://openalex.org/A5103334653,Coralyn W. Whitney,https://openalex.org/I8692664,University of Oklahoma,2001,2001
https://openalex.org/A5050330450,Susan Redline,https://openalex.org/I8692664,University of Oklahoma,2001,2008
https://openalex.org/A5073443955,Elisa T. Lee,https://openalex.org/I8692664,University of Oklahoma,1981,2017
https://openalex.org/A5089458669,Anne B. Newman,https://openalex.org/I8692664,University of Oklahoma,2001,2008
https://openalex.org/A5111596155,F. Javier Nieto,https://openalex.org/I8692664,University of Oklahoma,2001,2001
https://openalex.org/A5059122240,George O'connor,https://openalex.org/I8692664,University of Oklahoma,2001,2001
https://openalex.org/A5015977336,Lori L. Boland,https://openalex.org/I8692664,University of Oklahoma,2001,2001
https://openalex.org/A5109388541,JOSEPH E. SCHWARTZ,https://openalex.org/I8692664,University of Oklahoma,2001,2001
