author_id,name,institution_id,institution_name,year_start,year_end,orcid,closest_hospital,hospital_lat,hospital_lon,distance_km,date_of_birth,date_of_death,ORCID,loc_id,affiliation,q_id,total_works,total_citations,inst_type,appoint_len,appt_dropped_by_inst_type,appoint_len_w,winsorized_appointment,perfect_overlap,partial_overlap_kept,partial_overlap_author
https://openalex.org/A5042596874,Edward C. Halperin,https://openalex.org/I4210126298,Duke Medical Center,1985,2007,0000-0002-0849-5576,DUKE UNIVERSITY HOSPITAL,36.0070497990001,-78.937758112,3.806767988908248,,,0000-0002-0849-5576,n88087662,New York Medical College,Q54010421,286,7692,healthcare,22,0,22,False,1,1,1
https://openalex.org/A5042596874,Edward C. Halperin,https://openalex.org/I4210153043,Duke University Hospital,1985,2007,0000-0002-0849-5576,DUKE UNIVERSITY HOSPITAL,36.0070497990001,-78.937758112,3.8068183114717904,,,0000-0002-0849-5576,n88087662,New York Medical College,Q54010421,286,7692,healthcare,22,0,22,False,1,1,1
https://openalex.org/A5036388273,Nancy J. Cox,https://openalex.org/I200719446,Vanderbilt University,2014,2025,0000-0001-9315-0830,METROPOLITAN NASHVILLE GENERAL HOSPITAL,36.166906969,-86.80656112,1.9889945155026283,,,0000-0001-9315-0830,,Vanderbilt University,Q67954217,1052,124161,education,11,1,11,False,1,1,1
https://openalex.org/A5036388273,Nancy J. Cox,https://openalex.org/I114027177,University of North Carolina at Chapel Hill,2014,2025,0000-0001-9315-0830,UNIVERSITY OF NORTH CAROLINA HOSPITALS,35.9045427030001,-79.049689229,1.110654999538604,,,0000-0001-9315-0830,,Vanderbilt University,Q67954217,1052,124161,education,11,1,11,False,1,1,1
https://openalex.org/A5016514829,Caleb K. Charny,https://openalex.org/I2799853436,Johns Hopkins Medicine,1986,2005,,MERCY MEDICAL CENTER,39.2929215520001,-76.612884233,0.2888536563113657,,,,,,,18,902,healthcare,19,0,19,False,1,1,0
https://openalex.org/A5016514829,Caleb K. Charny,https://openalex.org/I145311948,Johns Hopkins University,1986,2005,,MERCY MEDICAL CENTER,39.2929215520001,-76.612884233,0.2888536563113657,,,,,,,18,902,education,19,0,19,False,1,1,0
https://openalex.org/A5037852998,Nathaniel A. Lynd,https://openalex.org/I86519309,The University of Texas at Austin,2014,2025,0000-0003-3010-5068,HEALTHSOUTH REHABILITATION HOSPITAL OF AUSTIN,30.2731283970001,-97.734112941,1.0863629860892785,,,0000-0003-3010-5068,,University of Texas at Austin,Q88675939,171,7274,education,11,0,11,False,0,1,0
https://openalex.org/A5037852998,Nathaniel A. Lynd,https://openalex.org/I154570441,"University of California, Santa Barbara",2008,2017,0000-0003-3010-5068,SANTA BARBARA COTTAGE HOSPITAL,34.429466689,-119.723809039,2.5384727841850334,,,0000-0003-3010-5068,,University of Texas at Austin,Q88675939,171,7274,education,9,0,9,False,0,1,0
https://openalex.org/A5014069871,Hermann Burr,https://openalex.org/I96424156,Federal Institute for Occupational Safety and Health,2011,2025,0000-0002-3864-6347,,,,,,,0000-0002-3864-6347,,Federal Institute for Occupational Safety and Health,Q90046370,225,12622,healthcare,14,1,14,False,0,1,1
https://openalex.org/A5014069871,Hermann Burr,https://openalex.org/I205783295,Cornell University,2006,2012,0000-0002-3864-6347,CAYUGA MEDICAL CENTER,42.4689850720001,-76.537484161,4.602820788088144,,,0000-0002-3864-6347,,Federal Institute for Occupational Safety and Health,Q90046370,225,12622,education,6,1,6,False,0,1,1
https://openalex.org/A5014541330,Guo Lin,https://openalex.org/I205783295,Cornell University,2003,2009,0000-0003-3390-5570,CAYUGA MEDICAL CENTER,42.4689850720001,-76.537484161,4.602820788088144,1972-03-10T00:00:00Z,,,,,Q1027050,206,5849,education,6,1,6,False,0,1,1
https://openalex.org/A5014541330,Guo Lin,https://openalex.org/I82880672,Beihang University,2007,2024,0000-0003-3390-5570,,,,,1972-03-10T00:00:00Z,,,,,Q1027050,206,5849,education,17,1,17,False,1,1,1
https://openalex.org/A5014541330,Guo Lin,https://openalex.org/I204983213,Harbin Institute of Technology,2007,2024,0000-0003-3390-5570,,,,,1972-03-10T00:00:00Z,,,,,Q1027050,206,5849,education,17,1,17,False,1,1,1
https://openalex.org/A5022468718,Sabyasachi Dash,https://openalex.org/I205783295,Cornell University,2019,2025,0000-0003-3966-9396,CAYUGA MEDICAL CENTER,42.4689850720001,-76.537484161,4.602820788088144,,,0000-0003-3966-9396,,Alexion Pharmaceuticals,Q96002375,36,2181,education,6,0,6,False,1,1,1
https://openalex.org/A5022468718,Sabyasachi Dash,https://openalex.org/I4387153466,Weill Cornell Medicine,2019,2025,0000-0003-3966-9396,NEW YORK-PRESBYTERIAN/LOWER MANHATTAN HOSPITAL,40.7105167880001,-74.0052978259999,0.4211660176629024,,,0000-0003-3966-9396,,Alexion Pharmaceuticals,Q96002375,36,2181,education,6,0,6,False,1,1,1
https://openalex.org/A5022468718,Sabyasachi Dash,https://openalex.org/I67357951,KIIT University,2013,2022,0000-0003-3966-9396,,,,,,,0000-0003-3966-9396,,Alexion Pharmaceuticals,Q96002375,36,2181,education,9,0,9,False,0,1,1
https://openalex.org/A5071828019,Noam Zuela-Sopilniak,https://openalex.org/I205783295,Cornell University,2019,2025,0000-0001-6324-1184,CAYUGA MEDICAL CENTER,42.4689850720001,-76.537484161,4.602820788088144,,,,,,,22,396,education,6,0,6,False,0,1,0
https://openalex.org/A5071828019,Noam Zuela-Sopilniak,https://openalex.org/I197251160,Hebrew University of Jerusalem,2012,2020,0000-0001-6324-1184,,,,,,,,,,,22,396,education,8,0,8,False,0,1,0
https://openalex.org/A5104436170,Darrell J. R. Evans,https://openalex.org/I79510175,Cardiff University,1999,2016,0000-0001-9425-6303,,,,,,,0000-0001-9425-6303,,University of Newcastle,Q91833376,113,4922,education,17,0,17,False,0,1,1
https://openalex.org/A5104436170,Darrell J. R. Evans,https://openalex.org/I56590836,Monash University,2013,2022,0000-0001-9425-6303,,,,,,,0000-0001-9425-6303,,University of Newcastle,Q91833376,113,4922,education,9,0,9,False,0,1,1
