author_id,name,institution_id,institution_name,year_start,year_end,orcid,closest_hospital,hospital_lat,hospital_lon,distance_km
https://openalex.org/A5117152269,Larahn E. Frazier,https://openalex.org/I8692664,University of Oklahoma,2025,2025,,NORMAN REGIONAL HEALTH SYSTEM -NORMAN CAMPUS,35.230413878,-97.439293783,0.8725353439584254
https://openalex.org/A5066917659,Mary Lawler,https://openalex.org/I130828816,University of Leeds,2010,2012,0000-0002-0106-5418,,,,
https://openalex.org/A5066917659,Mary Lawler,https://openalex.org/I185852735,University of Central Lancashire,2020,2020,0000-0002-0106-5418,,,,
https://openalex.org/A5066917659,Mary Lawler,https://openalex.org/I111979921,Northwestern University,1996,1996,0000-0002-0106-5418,PRESENCE ST FRANCIS HOSPITAL,42.0243893370001,-87.684568052,1.917023334551091
https://openalex.org/A5066917659,Mary Lawler,https://openalex.org/I8692664,University of Oklahoma,1993,1997,0000-0002-0106-5418,NORMAN REGIONAL HEALTH SYSTEM -NORMAN CAMPUS,35.230413878,-97.439293783,0.8725353439584254
https://openalex.org/A5066917659,Mary Lawler,https://openalex.org/I919571938,The University of Texas Health Science Center at Houston,1992,1992,0000-0002-0106-5418,ST. JOSEPH MEDICAL CENTER,29.7481161270001,-95.366148139,1.7088830518941123
https://openalex.org/A5066917659,Mary Lawler,https://openalex.org/I71422933,Sheffield Hallam University,2022,2022,0000-0002-0106-5418,,,,
https://openalex.org/A5066917659,Mary Lawler,https://openalex.org/I4210117869,Greenfield Research (Canada),1993,1993,0000-0002-0106-5418,,,,
https://openalex.org/A5066917659,Mary Lawler,https://openalex.org/I2799360002,Greenfield Community College,1993,1993,0000-0002-0106-5418,BAYSTATE FRANKLIN MEDICAL CENTER,42.5957000000001,-72.5923,3.220159413951754
https://openalex.org/A5066917659,Mary Lawler,https://openalex.org/I27253931,Oklahoma City University,1993,1993,0000-0002-0106-5418,ST. ANTHONY HOSPITAL,35.4779097040001,-97.523429705,2.5436914707677376
https://openalex.org/A5000743849,Mohammed Bouhiyate,https://openalex.org/I8692664,University of Oklahoma,2005,2005,,NORMAN REGIONAL HEALTH SYSTEM -NORMAN CAMPUS,35.230413878,-97.439293783,0.8725353439584254
https://openalex.org/A5061360353,Rudolf Kaltenboeck,https://openalex.org/I2916638547,Austro Control (Austria),2012,2017,,,,,
