Processing institution: I63966007
[1955-1964] Total so far: 200, Requests made: 2, avg 1.08 req/sec
[1965-1974] Total so far: 200, Requests made: 3, avg 0.98 req/sec
[1995-2004] Total so far: 200, Requests made: 3, avg 0.98 req/sec
[1975-1984] Total so far: 200, Requests made: 4, avg 0.87 req/sec
[1985-1994] Total so far: 200, Requests made: 5, avg 0.78 req/sec
[1955-1964] Total so far: 400, Requests made: 6, avg 0.84 req/sec
[2005-2014] Total so far: 200, Requests made: 9, avg 0.72 req/sec
[1965-1974] Total so far: 400, Requests made: 9, avg 0.72 req/sec
[2025-2025] Total so far: 200, Requests made: 10, avg 0.67 req/sec
[2015-2024] Total so far: 200, Requests made: 11, avg 0.69 req/sec
[1995-2004] Total so far: 400, Requests made: 11, avg 0.69 req/sec
[1975-1984] Total so far: 400, Requests made: 14, avg 0.75 req/sec
[1955-1964] Total so far: 600, Requests made: 14, avg 0.75 req/sec
[1985-1994] Total so far: 400, Requests made: 14, avg 0.75 req/sec
[1965-1974] Total so far: 600, Requests made: 15, avg 0.76 req/sec
[2005-2014] Total so far: 400, Requests made: 17, avg 0.75 req/sec
[1995-2004] Total so far: 600, Requests made: 18, avg 0.77 req/sec
[1975-1984] Total so far: 600, Requests made: 19, avg 0.75 req/sec
[2025-2025] Total so far: 400, Requests made: 19, avg 0.75 req/sec
[1955-1964] Total so far: 800, Requests made: 20, avg 0.77 req/sec
[1985-1994] Total so far: 600, Requests made: 22, avg 0.73 req/sec
[2015-2024] Total so far: 400, Requests made: 23, avg 0.73 req/sec
[1965-1974] Total so far: 800, Requests made: 23, avg 0.73 req/sec
[1995-2004] Total so far: 800, Requests made: 26, avg 0.75 req/sec
[1975-1984] Total so far: 800, Requests made: 26, avg 0.75 req/sec
[1955-1964] Total so far: 1000, Requests made: 26, avg 0.75 req/sec
[2025-2025] Total so far: 600, Requests made: 28, avg 0.76 req/sec
[1965-1974] Total so far: 1000, Requests made: 29, avg 0.76 req/sec
[1985-1994] Total so far: 800, Requests made: 29, avg 0.76 req/sec
[1975-1984] Total so far: 1000, Requests made: 33, avg 0.73 req/sec
[1995-2004] Total so far: 1000, Requests made: 33, avg 0.73 req/sec
[1955-1964] Total so far: 1200, Requests made: 34, avg 0.71 req/sec
[2005-2014] Total so far: 600, Requests made: 34, avg 0.71 req/sec
[2015-2024] Total so far: 600, Requests made: 34, avg 0.71 req/sec
[1975-1984] Total so far: 1200, Requests made: 38, avg 0.72 req/sec
[1985-1994] Total so far: 1000, Requests made: 38, avg 0.72 req/sec
[1995-2004] Total so far: 1200, Requests made: 39, avg 0.72 req/sec
[1965-1974] Total so far: 1200, Requests made: 39, avg 0.72 req/sec
[2025-2025] Total so far: 800, Requests made: 40, avg 0.73 req/sec
[1955-1964] Total so far: 1400, Requests made: 40, avg 0.73 req/sec
[1975-1984] Total so far: 1400, Requests made: 42, avg 0.73 req/sec
[2005-2014] Total so far: 800, Requests made: 43, avg 0.74 req/sec
[1985-1994] Total so far: 1200, Requests made: 43, avg 0.74 req/sec
[1995-2004] Total so far: 1400, Requests made: 46, avg 0.74 req/sec
[2015-2024] Total so far: 800, Requests made: 46, avg 0.74 req/sec
[1965-1974] Total so far: 1400, Requests made: 47, avg 0.74 req/sec
[1955-1964] Total so far: 1600, Requests made: 47, avg 0.74 req/sec
[2025-2025] Total so far: 1000, Requests made: 50, avg 0.74 req/sec
[1975-1984] Total so far: 1600, Requests made: 51, avg 0.74 req/sec
[1985-1994] Total so far: 1400, Requests made: 51, avg 0.74 req/sec
[1995-2004] Total so far: 1600, Requests made: 51, avg 0.74 req/sec
[2005-2014] Total so far: 1000, Requests made: 52, avg 0.74 req/sec
[1965-1974] Total so far: 1600, Requests made: 54, avg 0.75 req/sec
[1955-1964] Total so far: 1800, Requests made: 54, avg 0.75 req/sec
[1975-1984] Total so far: 1800, Requests made: 57, avg 0.75 req/sec
[2015-2024] Total so far: 1000, Requests made: 57, avg 0.75 req/sec
[2025-2025] Total so far: 1200, Requests made: 57, avg 0.75 req/sec
[1985-1994] Total so far: 1600, Requests made: 59, avg 0.76 req/sec
[1995-2004] Total so far: 1800, Requests made: 59, avg 0.76 req/sec
[1955-1964] Total so far: 2000, Requests made: 61, avg 0.77 req/sec
[1965-1974] Total so far: 1800, Requests made: 61, avg 0.77 req/sec
[1975-1984] Total so far: 2000, Requests made: 63, avg 0.76 req/sec
[2005-2014] Total so far: 1200, Requests made: 64, avg 0.77 req/sec
[1985-1994] Total so far: 1800, Requests made: 64, avg 0.77 req/sec
[2015-2024] Total so far: 1200, Requests made: 66, avg 0.76 req/sec
[2025-2025] Total so far: 1400, Requests made: 66, avg 0.76 req/sec
[1955-1964] Total so far: 2200, Requests made: 68, avg 0.77 req/sec
[1965-1974] Total so far: 2000, Requests made: 69, avg 0.77 req/sec
[1995-2004] Total so far: 2000, Requests made: 70, avg 0.78 req/sec
[1975-1984] Total so far: 2200, Requests made: 70, avg 0.78 req/sec
[1955-1964] Total so far: 2400, Requests made: 73, avg 0.78 req/sec
[2005-2014] Total so far: 1400, Requests made: 73, avg 0.78 req/sec
[2025-2025] Total so far: 1600, Requests made: 73, avg 0.78 req/sec
[1985-1994] Total so far: 2000, Requests made: 74, avg 0.77 req/sec
[1965-1974] Total so far: 2200, Requests made: 75, avg 0.78 req/sec
[1975-1984] Total so far: 2400, Requests made: 79, avg 0.77 req/sec
[1995-2004] Total so far: 2200, Requests made: 79, avg 0.77 req/sec
[1955-1964] Total so far: 2600, Requests made: 79, avg 0.77 req/sec
[2015-2024] Total so far: 1400, Requests made: 79, avg 0.77 req/sec
[2005-2014] Total so far: 1600, Requests made: 81, avg 0.78 req/sec
[1965-1974] Total so far: 2400, Requests made: 82, avg 0.78 req/sec
[1985-1994] Total so far: 2200, Requests made: 83, avg 0.78 req/sec
[1975-1984] Total so far: 2600, Requests made: 84, avg 0.78 req/sec
