
=== Processing massachusetts institute of technology (9684 authors) ===
[50/9684] processed — 13 kept, 12 errors
[100/9684] processed — 24 kept, 25 errors
[150/9684] processed — 36 kept, 37 errors
[200/9684] processed — 47 kept, 50 errors
[250/9684] processed — 56 kept, 62 errors
[300/9684] processed — 67 kept, 75 errors
[350/9684] processed — 77 kept, 86 errors
[400/9684] processed — 92 kept, 99 errors
[450/9684] processed — 111 kept, 111 errors
[500/9684] processed — 125 kept, 124 errors
[550/9684] processed — 148 kept, 136 errors
[600/9684] processed — 171 kept, 144 errors
[650/9684] processed — 204 kept, 144 errors
[700/9684] processed — 254 kept, 144 errors
[750/9684] processed — 285 kept, 144 errors
[800/9684] processed — 298 kept, 144 errors
[850/9684] processed — 331 kept, 144 errors
[900/9684] processed — 368 kept, 144 errors
[950/9684] processed — 406 kept, 144 errors
[1000/9684] processed — 439 kept, 144 errors
[1050/9684] processed — 476 kept, 144 errors
[1100/9684] processed — 513 kept, 144 errors
[1150/9684] processed — 558 kept, 144 errors
[1200/9684] processed — 607 kept, 144 errors
[1250/9684] processed — 645 kept, 144 errors
[1300/9684] processed — 682 kept, 144 errors
[1350/9684] processed — 715 kept, 144 errors
[1400/9684] processed — 750 kept, 144 errors
[1450/9684] processed — 796 kept, 144 errors
[1500/9684] processed — 828 kept, 144 errors
[1550/9684] processed — 845 kept, 144 errors
[1600/9684] processed — 861 kept, 151 errors
[1650/9684] processed — 882 kept, 168 errors
[1700/9684] processed — 918 kept, 177 errors
[1750/9684] processed — 966 kept, 177 errors
[1800/9684] processed — 1016 kept, 177 errors
[1850/9684] processed — 1058 kept, 177 errors
[1900/9684] processed — 1075 kept, 177 errors
[1950/9684] processed — 1100 kept, 177 errors
[2000/9684] processed — 1133 kept, 177 errors
[2050/9684] processed — 1174 kept, 177 errors
[2100/9684] processed — 1191 kept, 177 errors
[2150/9684] processed — 1207 kept, 177 errors
[2200/9684] processed — 1224 kept, 178 errors
[2250/9684] processed — 1241 kept, 178 errors
[2300/9684] processed — 1257 kept, 182 errors
[2350/9684] processed — 1273 kept, 196 errors
[2400/9684] processed — 1287 kept, 200 errors
[2450/9684] processed — 1304 kept, 203 errors
[2500/9684] processed — 1311 kept, 232 errors
[2550/9684] processed — 1311 kept, 282 errors
[2600/9684] processed — 1320 kept, 289 errors
[2650/9684] processed — 1350 kept, 290 errors
[2700/9684] processed — 1399 kept, 290 errors
[2750/9684] processed — 1439 kept, 290 errors
[2800/9684] processed — 1471 kept, 290 errors
[2850/9684] processed — 1504 kept, 290 errors
[2900/9684] processed — 1544 kept, 290 errors
[2950/9684] processed — 1572 kept, 290 errors
[3000/9684] processed — 1587 kept, 290 errors
[3050/9684] processed — 1616 kept, 290 errors
[3100/9684] processed — 1640 kept, 290 errors
[3150/9684] processed — 1674 kept, 290 errors
[3200/9684] processed — 1718 kept, 290 errors
[3250/9684] processed — 1766 kept, 290 errors
[3300/9684] processed — 1814 kept, 290 errors
[3350/9684] processed — 1863 kept, 290 errors
[3400/9684] processed — 1912 kept, 290 errors
[3450/9684] processed — 1960 kept, 290 errors
[3500/9684] processed — 2003 kept, 290 errors
[3550/9684] processed — 2043 kept, 290 errors
[3600/9684] processed — 2079 kept, 290 errors
[3650/9684] processed — 2109 kept, 290 errors
[3700/9684] processed — 2137 kept, 290 errors
[3750/9684] processed — 2177 kept, 290 errors
[3800/9684] processed — 2214 kept, 290 errors
[3850/9684] processed — 2246 kept, 290 errors
[3900/9684] processed — 2270 kept, 290 errors
[3950/9684] processed — 2306 kept, 290 errors
[4000/9684] processed — 2330 kept, 290 errors
[4050/9684] processed — 2364 kept, 290 errors
[4100/9684] processed — 2414 kept, 290 errors
[4150/9684] processed — 2463 kept, 290 errors
[4200/9684] processed — 2493 kept, 306 errors
[4250/9684] processed — 2518 kept, 331 errors
[4300/9684] processed — 2542 kept, 356 errors
[4350/9684] processed — 2567 kept, 380 errors
[4400/9684] processed — 2592 kept, 404 errors
[4450/9684] processed — 2617 kept, 428 errors
[4500/9684] processed — 2621 kept, 432 errors
[4550/9684] processed — 2621 kept, 432 errors
[4600/9684] processed — 2645 kept, 432 errors
[4650/9684] processed — 2667 kept, 432 errors
[4700/9684] processed — 2701 kept, 432 errors
[4750/9684] processed — 2734 kept, 432 errors
[4800/9684] processed — 2768 kept, 432 errors
[4850/9684] processed — 2810 kept, 432 errors
[4900/9684] processed — 2859 kept, 432 errors
[4950/9684] processed — 2907 kept, 432 errors
[5000/9684] processed — 2951 kept, 432 errors
[5050/9684] processed — 2991 kept, 432 errors
[5100/9684] processed — 3040 kept, 432 errors
[5150/9684] processed — 3081 kept, 432 errors
[5200/9684] processed — 3119 kept, 432 errors
[5250/9684] processed — 3159 kept, 432 errors
[5300/9684] processed — 3197 kept, 432 errors
[5350/9684] processed — 3229 kept, 432 errors
[5400/9684] processed — 3268 kept, 432 errors
[5450/9684] processed — 3307 kept, 432 errors
[5500/9684] processed — 3346 kept, 432 errors
[5550/9684] processed — 3379 kept, 432 errors
[5600/9684] processed — 3408 kept, 432 errors
[5650/9684] processed — 3438 kept, 432 errors
[5700/9684] processed — 3478 kept, 432 errors
[5750/9684] processed — 3513 kept, 432 errors
[5800/9684] processed — 3542 kept, 432 errors
[5850/9684] processed — 3575 kept, 432 errors
[5900/9684] processed — 3593 kept, 432 errors
[5950/9684] processed — 3609 kept, 432 errors
[6000/9684] processed — 3624 kept, 432 errors
[6050/9684] processed — 3638 kept, 432 errors
[6100/9684] processed — 3638 kept, 432 errors
[6150/9684] processed — 3638 kept, 432 errors
[6200/9684] processed — 3640 kept, 432 errors
[6250/9684] processed — 3663 kept, 457 errors
[6300/9684] processed — 3685 kept, 482 errors
[6350/9684] processed — 3709 kept, 506 errors
[6400/9684] processed — 3732 kept, 530 errors
[6450/9684] processed — 3755 kept, 555 errors
[6500/9684] processed — 3763 kept, 575 errors
[6550/9684] processed — 3813 kept, 575 errors
[6600/9684] processed — 3844 kept, 575 errors
[6650/9684] processed — 3885 kept, 575 errors
[6700/9684] processed — 3932 kept, 575 errors
[6750/9684] processed — 3962 kept, 575 errors
[6800/9684] processed — 3998 kept, 575 errors
[6850/9684] processed — 4002 kept, 575 errors
[6900/9684] processed — 4021 kept, 575 errors
[6950/9684] processed — 4046 kept, 575 errors
[7000/9684] processed — 4092 kept, 575 errors
[7050/9684] processed — 4126 kept, 575 errors
[7100/9684] processed — 4159 kept, 575 errors
[7150/9684] processed — 4206 kept, 575 errors
[7200/9684] processed — 4239 kept, 575 errors
[7250/9684] processed — 4274 kept, 575 errors
[7300/9684] processed — 4317 kept, 575 errors
[7350/9684] processed — 4350 kept, 575 errors
[7400/9684] processed — 4379 kept, 575 errors
[7450/9684] processed — 4402 kept, 575 errors
[7500/9684] processed — 4413 kept, 575 errors
[7550/9684] processed — 4435 kept, 575 errors
[7600/9684] processed — 4458 kept, 575 errors
[7650/9684] processed — 4483 kept, 575 errors
[7700/9684] processed — 4508 kept, 575 errors
[7750/9684] processed — 4544 kept, 575 errors
[7800/9684] processed — 4569 kept, 575 errors
[7850/9684] processed — 4592 kept, 575 errors
[7900/9684] processed — 4619 kept, 575 errors
[7950/9684] processed — 4648 kept, 577 errors
[8000/9684] processed — 4648 kept, 581 errors
[8050/9684] processed — 4648 kept, 581 errors
[8100/9684] processed — 4648 kept, 581 errors
[8150/9684] processed — 4648 kept, 581 errors
[8200/9684] processed — 4648 kept, 581 errors
[8250/9684] processed — 4649 kept, 585 errors
[8300/9684] processed — 4649 kept, 634 errors
[8350/9684] processed — 4649 kept, 684 errors
[8400/9684] processed — 4669 kept, 713 errors
[8450/9684] processed — 4719 kept, 713 errors
[8500/9684] processed — 4767 kept, 713 errors
[8550/9684] processed — 4808 kept, 713 errors
[8600/9684] processed — 4833 kept, 713 errors
[8650/9684] processed — 4842 kept, 713 errors
[8700/9684] processed — 4874 kept, 713 errors
[8750/9684] processed — 4904 kept, 713 errors
[8800/9684] processed — 4934 kept, 713 errors
[8850/9684] processed — 4967 kept, 713 errors
[8900/9684] processed — 5001 kept, 713 errors
[8950/9684] processed — 5047 kept, 713 errors
[9000/9684] processed — 5097 kept, 713 errors
[9050/9684] processed — 5147 kept, 713 errors
